X,Y,psi,vx,delta,ax
0.000000000000000000e+00,0.000000000000000000e+00,3.140000000000000124e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.238725474487686384e-01
-2.500000000000000000e+00,0.000000000000000000e+00,3.042894873664852895e+00,6.716176423463059431e-01,-2.514948558430381287e-02,1.015481949062434774e-01
-4.000000000000000000e+00,2.999999999999999889e-01,2.683479873854040409e+00,6.092891694374609202e-01,-1.018340567439593308e-01,1.573937373309047816e-02
-4.799999999999999822e+00,1.000000000000000000e+00,1.996779490381532574e+00,6.876715270911548661e-01,-2.032407127086524601e-01,3.372259350956589852e-02
-4.799999999999999822e+00,2.000000000000000000e+00,1.178097245096172418e+00,7.104569499661586018e-01,-1.826365883417133962e-01,5.826424960901277483e-02
-4.000000000000000000e+00,2.799999999999999822e+00,5.318489112012799724e-01,8.624642759181931906e-01,-9.937785846710454896e-02,1.041225197352597664e-01
-2.600000000000000089e+00,3.200000000000000178e+00,2.013273267759364271e-01,1.022824509171937901e+00,-2.578096189807325272e-02,4.984736069298612016e-03
-1.000000000000000000e+00,3.399999999999999911e+00,-3.652028265155962683e-02,8.774184841260890266e-01,-6.249512139121117527e-02,-1.074449157953399903e-01
0.000000000000000000e+00,3.200000000000000178e+00,-5.900946415486048036e-01,7.004897617859179304e-01,-1.852222159917197020e-01,-4.657991331562157805e-02
5.999999999999999778e-01,2.299999999999999822e+00,-1.669494106719837223e+00,7.376787441792242994e-01,-2.866215377099008421e-01,6.621639343081164863e-02
-2.000000000000000111e-01,1.500000000000000000e+00,-2.894621969130002803e+00,8.991389420783528763e-01,-1.599960583037828010e-01,4.636693674223112821e-02
-2.200000000000000178e+00,2.100000000000000089e+00,-3.023283826615546843e+00,8.693264251817726107e-01,1.169102067125944028e-01,-5.112918565146568062e-02
-3.399999999999999911e+00,1.399999999999999911e+00,-1.570796326794896558e+00,6.946221994724901538e-01,3.096089404967989900e-01,-2.261210322618145696e-02
-2.200000000000000178e+00,6.999999999999999556e-01,-1.767011247090600201e-01,7.788780122770467829e-01,1.131051520363187263e-01,3.177534418974142794e-02
-5.000000000000000000e-01,1.000000000000000000e+00,-8.704940228783365763e-02,8.217235762314558656e-01,-9.153521197798124287e-02,2.399059373867896278e-02
5.999999999999999778e-01,5.999999999999999778e-01,2.183135799067706107e-01,8.615611844816859488e-01,2.103158002352768507e-01,4.036182178353586725e-02
1.600000000000000089e+00,1.600000000000000089e+00,7.853981633974482790e-01,9.428090415820634673e-01,0.000000000000000000e+00,1.901897726976790187e-02
2.600000000000000089e+00,2.600000000000000089e+00,9.462734405957693440e-01,9.186181162909896614e-01,5.973824675563355058e-02,-2.290683230663855333e-02
3.200000000000000178e+00,3.799999999999999822e+00,1.055466666113731855e-01,8.740885446621478039e-01,-3.190374329063050407e-01,-2.224772237626659876e-02
4.000000000000000000e+00,2.799999999999999822e+00,-6.930063554125361902e-01,8.518749491621898651e-01,6.947665495821316040e-02,-7.873269123866783598e-03
5.500000000000000000e+00,2.000000000000000000e+00,-1.570796326794896558e+00,8.499999999999999778e-01,-2.609523282061281257e-01,-3.383183860498120699e-02
4.000000000000000000e+00,1.199999999999999956e+00,-1.596027413803324357e+00,7.165475947422650371e-01,2.884907327060843851e-01,-4.258700946280860600e-02
5.000000000000000000e+00,5.999999999999999778e-01,-1.399085542616216316e-01,6.796519621487655538e-01,1.462558519737211793e-01,3.794777261792481315e-02
6.500000000000000000e+00,1.000000000000000000e+00,5.783288881593424691e-01,8.683386852139642897e-01,9.223371866404439512e-02,2.002271321154291961e-02
7.700000000000000178e+00,2.500000000000000000e+00,2.162038877852686947e-01,7.597428149949372322e-01,-2.052443206457763292e-01,-8.470754700662269654e-02
8.699999999999999289e+00,2.000000000000000000e+00,-1.017221967897851576e+00,5.295084971874735036e-01,-2.499263622341278135e-01,-4.739665078082372363e-02
8.699999999999999289e+00,1.000000000000000000e+00,-2.018824019080568188e+00,5.701562118716423377e-01,-1.926896775981196408e-01,8.572894138588293966e-02
7.700000000000000178e+00,2.000000000000000111e-01,-2.758892238877644232e+00,8.724242627310052622e-01,-8.442313784938612620e-02,1.517779597469302022e-01
5.500000000000000000e+00,0.000000000000000000e+00,-3.096262709989420880e+00,1.177268050859363147e+00,-9.901490241851412799e-03,6.439343172486844402e-04
3.000000000000000000e+00,0.000000000000000000e+00,-3.141592653589793116e+00,8.750000000000000000e-01,0.000000000000000000e+00,-1.484836793815074718e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.143185307179586108e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.458333333333333426e-01
